"Date","Time","Open","High","Low","Close","Up","Down"
05/11/2022,01:17:40,4018.25,4018.50,4018.25,4018.50,81,6
05/11/2022,01:17:41,4018.50,4020.25,4018.50,4020.25,322,54
05/11/2022,01:17:42,4020.25,4020.25,4019.50,4020.00,27,46
05/11/2022,01:17:43,4020.00,4020.25,4020.00,4020.00,15,1
05/11/2022,01:17:44,4020.25,4020.25,4020.25,4020.25,1,0
05/11/2022,01:17:46,4020.25,4020.25,4020.00,4020.00,7,23
05/11/2022,01:17:47,4020.00,4020.25,4020.00,4020.25,3,1
05/11/2022,01:17:48,4020.25,4020.75,4020.00,4020.25,29,23
05/11/2022,01:17:49,4020.25,4020.25,4020.25,4020.25,6,0
05/11/2022,01:17:50,4020.25,4020.25,4020.00,4020.00,2,1
05/11/2022,01:17:51,4020.25,4020.50,4020.00,4020.00,6,9
05/11/2022,01:17:52,4020.25,4020.25,4020.25,4020.25,1,0
05/11/2022,01:17:53,4020.50,4020.50,4020.50,4020.50,2,0
05/11/2022,01:17:54,4020.25,4020.50,4020.25,4020.50,10,11
05/11/2022,01:17:55,4020.50,4020.75,4020.50,4020.75,4,0
05/11/2022,01:17:56,4020.25,4020.25,4020.25,4020.25,0,5
05/11/2022,01:17:57,4020.25,4020.25,4020.25,4020.25,0,12
05/11/2022,01:17:58,4020.25,4020.50,4020.25,4020.50,1,3
05/11/2022,01:17:59,4020.00,4020.25,4020.00,4020.25,1,2
05/11/2022,01:18:01,4020.00,4020.00,4020.00,4020.00,0,31
05/11/2022,01:18:02,4020.25,4020.25,4020.00,4020.00,1,4
05/11/2022,01:18:03,4020.00,4020.00,4020.00,4020.00,0,1
05/11/2022,01:18:04,4020.25,4020.25,4020.25,4020.25,10,0
05/11/2022,01:18:07,4020.50,4020.50,4020.25,4020.25,21,1
05/11/2022,01:18:09,4020.50,4020.50,4020.50,4020.50,2,0
05/11/2022,01:18:11,4020.25,4020.25,4020.25,4020.25,0,10
05/11/2022,01:18:12,4020.25,4020.25,4019.75,4019.75,0,9
05/11/2022,01:18:13,4020.00,4020.00,4020.00,4020.00,21,0
05/11/2022,01:18:14,4020.00,4020.25,4020.00,4020.00,4,1
05/11/2022,01:18:15,4020.00,4020.00,4020.00,4020.00,0,1
05/11/2022,01:18:16,4020.00,4020.00,4019.75,4019.75,0,14
05/11/2022,01:18:17,4019.50,4019.50,4019.50,4019.50,0,8
05/11/2022,01:18:18,4019.50,4019.75,4019.50,4019.75,7,1
05/11/2022,01:18:21,4019.50,4019.50,4019.50,4019.50,0,9
05/11/2022,01:18:22,4019.25,4019.25,4019.00,4019.00,0,15
05/11/2022,01:18:23,4019.25,4019.25,4019.25,4019.25,11,0
05/11/2022,01:18:24,4019.00,4019.25,4018.75,4019.00,21,26
05/11/2022,01:18:25,4019.25,4019.25,4019.00,4019.00,1,1
05/11/2022,01:18:27,4019.25,4019.25,4019.00,4019.00,16,7
05/11/2022,01:18:29,4019.00,4019.00,4019.00,4019.00,0,1
05/11/2022,01:18:30,4019.25,4019.50,4019.25,4019.25,16,3
05/11/2022,01:18:32,4019.00,4019.00,4018.75,4018.75,0,10
05/11/2022,01:18:33,4018.75,4018.75,4018.00,4018.25,1,22
05/11/2022,01:18:34,4018.25,4018.25,4018.00,4018.00,1,1
05/11/2022,01:18:35,4018.25,4018.25,4018.00,4018.00,1,1
05/11/2022,01:18:38,4018.00,4018.00,4018.00,4018.00,0,1
05/11/2022,01:18:39,4018.00,4018.00,4018.00,4018.00,0,16
05/11/2022,01:18:41,4018.00,4018.25,4018.00,4018.25,1,1
05/11/2022,01:18:42,4018.00,4018.00,4018.00,4018.00,0,15
05/11/2022,01:18:43,4017.75,4017.75,4017.75,4017.75,0,1
05/11/2022,01:18:45,4018.00,4018.00,4018.00,4018.00,5,0
05/11/2022,01:18:47,4018.25,4018.25,4018.25,4018.25,12,0
05/11/2022,01:18:50,4018.50,4018.50,4018.50,4018.50,12,0
05/11/2022,01:18:51,4018.75,4019.00,4018.75,4019.00,15,5
05/11/2022,01:18:53,4019.00,4019.00,4019.00,4019.00,3,0
05/11/2022,01:18:54,4018.75,4018.75,4018.75,4018.75,0,6
05/11/2022,01:18:55,4018.50,4018.50,4018.50,4018.50,0,9
05/11/2022,01:18:56,4018.50,4018.50,4018.50,4018.50,0,6
05/11/2022,01:18:57,4018.25,4018.50,4018.25,4018.50,9,2
05/11/2022,01:18:58,4018.75,4018.75,4018.75,4018.75,2,0
05/11/2022,01:18:59,4018.50,4018.50,4018.50,4018.50,0,1
05/11/2022,01:19:00,4018.75,4018.75,4018.75,4018.75,9,0
05/11/2022,01:19:01,4018.75,4019.00,4018.75,4018.75,2,4
05/11/2022,01:19:03,4018.75,4018.75,4018.75,4018.75,0,1
05/11/2022,01:19:05,4019.00,4019.00,4019.00,4019.00,8,0
05/11/2022,01:19:06,4019.00,4019.00,4018.75,4018.75,3,1
05/11/2022,01:19:07,4019.00,4019.00,4019.00,4019.00,1,0
05/11/2022,01:19:08,4019.00,4019.00,4019.00,4019.00,2,0
05/11/2022,01:19:09,4019.00,4019.00,4019.00,4019.00,1,0
05/11/2022,01:19:10,4019.25,4019.25,4019.25,4019.25,10,0
05/11/2022,01:19:11,4019.25,4019.25,4019.25,4019.25,1,0
05/11/2022,01:19:12,4019.50,4019.75,4019.50,4019.50,4,18
05/11/2022,01:19:13,4019.25,4019.25,4019.25,4019.25,0,10
05/11/2022,01:19:14,4019.25,4019.25,4019.25,4019.25,0,21
05/11/2022,01:19:15,4019.50,4019.50,4019.50,4019.50,3,0
05/11/2022,01:19:16,4019.25,4019.25,4019.25,4019.25,0,7
05/11/2022,01:19:19,4019.00,4019.00,4019.00,4019.00,0,5
05/11/2022,01:19:20,4018.75,4018.75,4018.75,4018.75,0,5
05/11/2022,01:19:21,4018.75,4018.75,4018.75,4018.75,0,1
05/11/2022,01:19:27,4018.75,4018.75,4018.75,4018.75,0,1
05/11/2022,01:19:29,4018.50,4018.50,4018.50,4018.50,0,7
05/11/2022,01:19:30,4018.25,4018.25,4018.25,4018.25,0,2
05/11/2022,01:19:31,4018.25,4018.25,4018.25,4018.25,0,4
05/11/2022,01:19:33,4018.25,4018.25,4018.25,4018.25,0,4
05/11/2022,01:19:35,4018.50,4018.50,4018.50,4018.50,11,0
05/11/2022,01:19:40,4018.25,4018.25,4018.25,4018.25,0,3
05/11/2022,01:19:44,4018.50,4018.50,4018.50,4018.50,1,0
05/11/2022,01:19:45,4018.50,4018.50,4018.50,4018.50,1,0
05/11/2022,01:19:46,4018.50,4018.50,4018.50,4018.50,3,0
05/11/2022,01:19:47,4018.50,4018.50,4018.50,4018.50,1,0
05/11/2022,01:19:48,4018.75,4018.75,4018.75,4018.75,6,0
05/11/2022,01:19:50,4018.75,4018.75,4018.75,4018.75,5,0
05/11/2022,01:19:51,4018.75,4018.75,4018.75,4018.75,5,0
05/11/2022,01:19:52,4018.75,4019.00,4018.75,4019.00,2,0
05/11/2022,01:19:56,4019.00,4019.00,4019.00,4019.00,2,0
05/11/2022,01:19:57,4018.75,4018.75,4018.75,4018.75,0,10
05/11/2022,01:19:59,4019.00,4019.00,4019.00,4019.00,3,0
05/11/2022,01:20:01,4018.50,4018.50,4018.50,4018.50,0,6
05/11/2022,01:20:04,4018.75,4018.75,4018.75,4018.75,1,0
05/11/2022,01:20:07,4018.75,4018.75,4018.75,4018.75,1,0
05/11/2022,01:20:14,4019.00,4019.00,4019.00,4019.00,5,0
05/11/2022,01:20:16,4019.25,4019.25,4019.25,4019.25,1,0
05/11/2022,01:20:18,4019.50,4019.50,4019.50,4019.50,6,0
05/11/2022,01:20:20,4019.75,4019.75,4019.75,4019.75,9,0
05/11/2022,01:20:21,4019.75,4019.75,4019.75,4019.75,7,0
05/11/2022,01:20:23,4019.75,4019.75,4019.50,4019.75,4,1
05/11/2022,01:20:24,4020.00,4020.50,4019.75,4020.00,38,19
05/11/2022,01:20:25,4020.00,4020.00,4020.00,4020.00,1,0
05/11/2022,01:20:28,4020.00,4020.00,4020.00,4020.00,2,0
05/11/2022,01:20:29,4020.25,4020.50,4020.25,4020.25,14,4
05/11/2022,01:20:31,4020.50,4020.50,4020.50,4020.50,4,0
05/11/2022,01:20:32,4020.25,4020.25,4020.00,4020.00,1,7
05/11/2022,01:20:34,4020.00,4020.00,4020.00,4020.00,0,7
05/11/2022,01:20:36,4019.75,4019.75,4019.75,4019.75,0,5
05/11/2022,01:20:37,4019.75,4019.75,4019.75,4019.75,0,4
05/11/2022,01:20:38,4019.75,4019.75,4019.50,4019.50,0,2
05/11/2022,01:20:39,4019.50,4019.50,4019.50,4019.50,0,5
05/11/2022,01:20:41,4019.75,4019.75,4019.75,4019.75,1,0
05/11/2022,01:20:45,4020.00,4020.00,4020.00,4020.00,1,0
05/11/2022,01:20:48,4020.00,4020.00,4019.50,4019.50,7,6
05/11/2022,01:20:49,4019.50,4019.50,4019.50,4019.50,0,1
05/11/2022,01:20:50,4019.25,4019.25,4019.25,4019.25,0,1
05/11/2022,01:20:53,4019.25,4019.25,4019.25,4019.25,0,3
05/11/2022,01:20:54,4019.00,4019.00,4019.00,4019.00,0,1
05/11/2022,01:20:58,4019.00,4019.25,4019.00,4019.25,7,4
05/11/2022,01:21:01,4019.50,4019.50,4019.50,4019.50,1,0
05/11/2022,01:21:04,4019.25,4019.25,4019.25,4019.25,0,4
05/11/2022,01:21:08,4019.25,4019.25,4019.25,4019.25,0,3
05/11/2022,01:21:10,4019.50,4019.50,4019.50,4019.50,1,0
05/11/2022,01:21:11,4019.25,4019.25,4019.25,4019.25,0,6
05/11/2022,01:21:14,4019.25,4019.25,4019.25,4019.25,0,1
05/11/2022,01:21:23,4019.00,4019.00,4019.00,4019.00,0,10
05/11/2022,01:21:25,4019.00,4019.00,4019.00,4019.00,0,2
05/11/2022,01:21:28,4019.25,4019.25,4019.25,4019.25,1,0
05/11/2022,01:21:30,4019.50,4019.50,4019.50,4019.50,10,0
05/11/2022,01:21:32,4019.25,4019.25,4019.25,4019.25,0,1
05/11/2022,01:21:35,4019.25,4019.25,4019.25,4019.25,0,8
05/11/2022,01:21:36,4019.00,4019.00,4019.00,4019.00,0,5
05/11/2022,01:21:37,4019.25,4019.25,4019.25,4019.25,3,0
05/11/2022,01:21:38,4019.25,4019.25,4019.00,4019.00,1,2
05/11/2022,01:21:41,4019.25,4019.25,4019.00,4019.00,2,1
05/11/2022,01:21:45,4019.25,4019.25,4019.25,4019.25,4,0
05/11/2022,01:21:47,4019.25,4019.25,4019.25,4019.25,3,0
05/11/2022,01:21:48,4019.00,4019.00,4019.00,4019.00,0,8
05/11/2022,01:21:49,4018.75,4018.75,4018.50,4018.75,2,8
05/11/2022,01:21:50,4019.00,4019.00,4019.00,4019.00,3,0
05/11/2022,01:21:51,4019.00,4019.00,4019.00,4019.00,7,0
05/11/2022,01:21:56,4019.00,4019.00,4019.00,4019.00,1,0
05/11/2022,01:21:57,4018.75,4018.75,4018.50,4018.75,3,24
05/11/2022,01:21:58,4018.75,4018.75,4018.75,4018.75,2,0
05/11/2022,01:22:02,4018.75,4018.75,4018.75,4018.75,5,0
05/11/2022,01:22:04,4018.75,4018.75,4018.75,4018.75,2,0
05/11/2022,01:22:05,4018.75,4018.75,4018.75,4018.75,1,0
05/11/2022,01:22:06,4019.00,4019.00,4019.00,4019.00,15,0
05/11/2022,01:22:09,4019.00,4019.50,4019.00,4019.25,32,11
05/11/2022,01:22:11,4019.25,4019.25,4019.25,4019.25,6,0
05/11/2022,01:22:13,4019.25,4019.25,4019.00,4019.00,2,5
